枠番,B,番,印,M2,M3,M4,  馬名,Ｃ,性別,年齢,替,騎手,斤量,減M, 単勝,人気,馬体重,増減,ZI印,ZI,間,コース:1,脚:1,補:1,間,コース:2,脚:2,補:2,間,コース:3,脚:3,補:3,間,コース:4,脚:4,補:4,間,コース:5,脚:5,補:5,間,コース:6,脚:6,補:6,間,コース:7,脚:7,補:7,間,コース:8,脚:8,補:8,間,コース:9,脚:9,補:9,間,コース:10,脚:10,補:10,間,コース:11,脚:11,補:11,間,コース:12,脚:12,補:12,間,コース:13,脚:13,補:13,間,コース:14,脚:14,補:14,間,コース:15,脚:15,補:15,間,コース:16,脚:16,補:16,間,コース:17,脚:17,補:17,間,コース:18,脚:18,補:18,間,コース:19,脚:19,補:19,間,コース:20,脚:20,補:20,間,コース:21,脚:21,補:21,間,コース:22,脚:22,補:22,間,コース:23,脚:23,補:23,間,コース:24,脚:24,補:24,間,コース:25,脚:25,補:25,間,コース:26,脚:26,補:26,間,コース:27,脚:27,補:27,間,コース:28,脚:28,補:28,間,コース:29,脚:29,補:29,間,コース:30,脚:30,補:30,間,コース:31,脚:31,補:31,間,コース:32,脚:32,補:32,間,コース:33,脚:33,補:33,間,コース:34,脚:34,補:34,間,コース:35,脚:35,補:35,間,コース:36,脚:36,補:36,間,コース:37,脚:37,補:37,間,コース:38,脚:38,補:38,間,コース:39,脚:39,補:39,間,コース:40,脚:40,補:40,間,コース:41,脚:41,補:41,間,コース:42,脚:42,補:42,間,コース:43,脚:43,補:43,間,コース:44,脚:44,補:44,間,コース:45,脚:45,補:45,間,コース:46,脚:46,補:46,間,コース:47,脚:47,補:47,間,コース:48,脚:48,補:48,間,コース:49,脚:49,補:49,間,コース:50,脚:50,補:50,間,コース:51,脚:51,補:51,間,コース:52,脚:52,補:52,間,コース:53,脚:53,補:53,間,コース:54,脚:54,補:54,間,コース:55,脚:55,補:55,間,コース:56,脚:56,補:56,間,コース:57,脚:57,補:57,間,コース:58,脚:58,補:58,間,コース:59,脚:59,補:59,間,コース:60,脚:60,補:60,間
1,,1,,,,,ダノンカモン,,牡,9,*,大野拓弥,57.5,,44.4,13,530,  0, , 96,,D2000,逃,３着,|,D1800,後, 97,|,D1600,中,112,|,D1800,先,２着,+,D1400,中,109,|,D1400,後,９着,|,D1400,先,３着,|,D1900,先,１着,|,D1600,先,112,|,D1400,先,111,+,D1400,中,115,|,D1600,先,113,|,D1400,マ,２着,+,D1600,中,114,|,D1400,中,107,|,D1800,後,105,|,D1600,後,115,+,T1600,中, 97,|,T1600,中,108,+,D1600,中,117,|,D1400,中,113,|,D1800,先,120,|,D1600,先,115,|,D1600,先,120,|,D1400,先,114,+,D1400,先,116,+,D1600,中,116,|,D1400,中,117,|,D1400,中,114,|,D1400,先,113,|,D1600,先,113,|,D1400,先,113,|,D1400,先,108,+,D1800,先,104,|,D1400,中,102,|,D1600,先,110,+,D1400,中,110,|,D1400,中,110,|,D1400,中,110,|,D1600,先,111,|,T1800,中, 94,|,T2000,中,102,+,T2200,先, 93,+,T1800,中, 89,|,T1400,先, 81,|,T1800,後, 91,|,T1600,後, 92,|,T1600,中, 81,|,,,,,,,,,,,,
1,B,2,,,,,ランフォルセ,,牡,9,*,丸山元気,57.5,,100.8,15,492,- 3, ,  0,,D2000,中,５着,|,D2100,逃,７着,+,D2000,中,６着,|,D2100,中,５着,+,D2000,先,８着,+,D1900,中,４着,|,D2000,先,１着,|,D2100,中,４着,|,D2500,先,４着,|,D2000,先,１着,|,D1800,先,３着,|,D2000,先,３着,|,D2000,先,５着,+,D2100,中, 99,|,D1900,中,５着,+,D2000,先,３着,|,D1800,逃,５着,+,D2000,逃,８着,|,D1600,中,４着,|,D2400,先,１着,|,D2100,先,２着,+,D1600,中,110,|,D1700,マ,116,|,D1700,マ,115,|,D1900,逃,122,|,D1700,先,119,+,D1800,中,106,|,D1600,先,110,|,D1800,中,106,|,D1700,逃,110,|,D1700,先,104,|,D1800,先,101,+,D1600,中, 94,|,D1800,先, 99,|,D1800,中, 96,|,D1600,先,101,+,D1600,先, 98,|,D1800,中, 92,|,D1800,中, 86,+,T1800,中, 76,|,,,,,,,,,,,,,,,,,,,,
2,,3,,,,,サンレイレーザー,,牡,6,*,内田博幸,56,  ,18.6,8,530,- 8, ,104,,T2000,先,106,+,T1600,先,101,|,T1800,逃,116,|,T1600,後,110,|,T1600,中,110,|,T1600,中,113,|,T1600,中,106,|,T1400,中,106,+,T1600,先,109,|,T1600,後,113,|,T1600,中,108,+,T1800,中,116,|,T1600,中,117,|,T1600,先,112,|,T1600,先,112,+,T1800,中,112,|,T1600,先,108,|,T2200,先, 99,+,T1800,先, 92,|,T1600,先,103,|,T1800,中, 96,|,T2000,後, 93,|,T1600,先, 93,+,D1600,先,３着,|,D1700,先,１着,|,T1200,先, 78,|,T1500,後, 80,|,T1200,後, 80,|,D1200,中,３着,|,D1200,逃,１着,|,D1200,逃,１着,|,D1000,逃,３着,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,4,,,,,ストロングサウザー,,牡,4,*,北村宏司,53,  ,25.7,10,470,- 6, , 89,,D1800,中,102,|,D1800,先,105,|,D1800,中, 96,|,D1700,先,102,|,D1800,先,102,+,D1700,中, 95,+,D1600,後, 94,|,D1800,中, 88,+,D1800,先, 91,|,D1800,先, 88,+,T1800,先, 76,|,T1800,中, 74,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,B,5,,,,,サトノプリンシパル,,牡,5,,川須栄彦,56,  ,13.4,6,556,  0, ,106,,D1400,先, 98,|,D1200,先,105,|,D1400,先,116,|,D1800,逃,112,|,D2000,逃,113,|,D1800,逃,110,|,D1800,先,110,|,D1800,逃,113,|,D2100,中, 98,=,D1600,逃,112,+,D1900,逃, 78,|,D1800,逃,110,|,D2000,逃,４着,+,D2100,逃, 98,|,D2000,逃, 80,|,D1800,逃,105,|,D1800,逃,106,|,D1800,先, 90,|,D1800,逃,100,|,D1800,逃, 94,|,T2000,中, 84,|,D1800,先, 88,|,T1600,後, 75,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,6,◎,,,,サンバビーン,,牝,5,*,江田照男,50,  ,46.8,14,490,- 8,>,100,,D1700,先,109,|,D1800,後,100,|,D1800,後, 99,|,D1800,逃, 78,|,D1700,逃, 93,|,D1800,逃, 96,|,D1700,逃,101,|,D1700,逃, 94,+,D1600,先, 89,|,D1600,先, 84,+,D1700,後, 72,|,D1700,逃, 90,|,T1800,後, 77,|,T1600,中, 87,+,D1400,逃,１着,|,D1400,先, 64,|,D1800,先, 62,|,T1800,後, 65,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,7,×,,,,キクノソル,,牡,5,*,柴田善臣,54,  ,7.3,4,500,- 4, ,112,,D1800,先,111,|,D1800,逃,109,|,D1800,先,107,|,D1800,中,103,|,D1800,中,106,|,D1600,中, 98,+,D1700,中,102,|,D1700,先,103,|,D1800,先,103,|,D1800,先,100,+,D1800,先, 96,|,D1800,中,105,|,D1800,先,103,|,D1800,先, 98,|,D1800,先,101,+,D1800,先, 92,|,D1800,先, 84,|,D1800,先, 82,+,D1800,先, 83,|,D1800,先, 76,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,8,,,,,メイショウカンパク,,牡,8,*,田中勝春,55,  ,129.0,16,490,- 6, , 92,,T2000,中,100,|,T2400,後,100,|,D1600,後, 99,+,T3200,中, 96,|,T2500,中,110,+,T2400,後,111,|,T2400,後,105,|,T2400,中,118,|,T2200,後,109,|,T2000,後,109,|,T1600,中,104,|,T1800,後,106,|,T2000,後,113,|,T2000,後,109,|,T2000,後,109,+,T2000,後,117,|,T1800,中,107,|,T2000,後,105,|,T2000,後,105,|,T1800,中,102,|,T1800,先, 99,+,T1800,中,101,|,T1800,後,108,|,T2000,中,108,|,T2000,先, 99,|,T2000,中, 94,|,T2000,後, 85,|,T1800,後, 92,|,T1800,先, 90,|,T1400,後, 82,+,T1400,中, 92,|,T1400,後, 90,|,T1400,先, 87,|,T1400,後, 87,|,T1600,中, 84,|,T1400,先, 82,|,T1600,先, 82,|,T1600,先, 82,|,T1800,先, 76,|,T1800,中, 75,|,,,,,,,,,,,,,,,,,,,,
5,,9,,,,,ヴォーグトルネード,,牡,6,*,柴山雄一,57,  ,20.5,9,472,- 2, , 92,+,D1800,後, 88,|,D2100,後,111,|,D1800,後,109,|,D1800,後,117,+,D2100,後,113,|,D2000,後,102,|,D2100,中,111,|,D1900,中,104,+,D2100,後,102,|,D2100,中,100,+,D2100,中,104,|,D2100,中,112,|,D1800,後, 96,|,D1900,後, 91,|,D1900,中, 93,|,D1800,中, 92,+,D1700,中, 91,|,D1700,中, 87,|,D1700,先, 92,|,D1800,後, 90,|,D1800,後, 92,+,D1800,先, 84,|,D1800,先, 80,|,T1400,中, 73,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,10,,,,,ロイヤルクレスト,,牡,7,,古川吉洋,57,  ,35.6,11,528,+ 2, , 98,+,D1800,先,108,|,D2000,中,12着,|,D1600,中,100,+,D1700,先,112,|,D1700,逃,114,+,D1400,中,103,|,D1800,後,104,|,D1600,逃,109,|,D1800,逃,108,|,D1700,マ,104,|,D1700,先, 99,|,T1800,逃, 91,+,T1600,先, 91,|,T1600,逃, 95,|,T1600,逃, 95,|,T1600,先, 87,+,T1600,逃,104,+,T2200,逃, 96,|,T2000,逃,103,|,T1600,逃,101,|,T1600,逃, 92,|,T1600,逃, 90,|,T1600,中, 67,|,T1600,逃, 82,|,T1600,逃, 82,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,11,,,,,ソロル,,牡,5,*,蛯名正義,57.5,,5.1,2,494,- 8, ,108,,D1900,先,113,|,D1800,中,110,+,D1800,後,108,|,D2000,先,106,+,D1700,後,100,|,D1900,中,114,|,D1800,中,103,|,D1800,先,114,|,D1600,先,110,|,D1800,先,114,|,D2000,先,112,|,D1800,先,110,|,D2100,先,109,|,T2400,中,103,|,D1700,先,102,+,D1800,先, 92,|,D1870,先,３着,|,D1800,先, 97,|,D1600,後, 99,|,D1800,中, 94,|,D1800,逃, 82,|,T1800,中, 76,|,T2000,先, 79,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,B,12,,,,,ベルゲンクライ,,牡,5,,吉田豊,55,  ,6.0,3,474,-10, ,110,,D1800,中,111,|,D1800,中,107,|,D1800,中,103,|,D1800,中, 93,|,T1400,後, 87,|,T1400,後, 90,|,T1800,後, 88,|,T1800,後, 87,|,T1800,先, 77,|,T1800,中, 88,|,T2000,中, 89,|,T1600,後, 69,|,T1600,後, 85,|,T1800,後, 91,|,T2000,中, 88,|,T1600,後, 87,|,T1800,中, 86,|,T2000,後, 86,|,T2000,後, 88,|,T2000,中, 85,|,T2000,中, 89,|,T1800,中, 86,=,T1600,後, 85,|,T1800,中, 83,|,T1800,後, 80,|,T1600,後, 89,|,T1600,中, 81,|,T1600,中, 79,|,T1600,後, 78,|,T1600,中, 74,|,T1200,後, 75,|,T2400,中, 66,|,D1800,後, 60,|,D1800,先, 65,|,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,13,×,,,,マスクトヒーロー,,牡,7,,横山典弘,57,  ,3.8,1,498,- 2, ,125,+,D1800,先,116,|,D2100,先,105,+,D1800,先,114,|,D1400,中,108,+,D1700,中, 96,+,D1800,逃,115,|,D1600,先,100,|,D1800,先, 96,+,D1800,中, 89,|,D1800,逃,100,+,D1700,逃,１着,|,D1700,逃,１着,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,14,,,,,トウショウフリーク,,牡,8,*,石橋脩,56,  ,42.6,12,494,- 4, , 99,,D1400,中,106,|,D1900,逃,100,|,D2500,逃,７着,|,D1600,先,104,+,D1900,中,108,|,D1800,中,116,|,D2400,逃,２着,|,D2100,逃,３着,|,D2500,逃,２着,+,D1800,逃,114,+,D1900,逃,109,|,D2100,逃,115,+,D1800,逃,114,|,D1800,逃,110,|,D1900,中,108,|,T1600,先,113,|,T1600,中,110,|,T1600,先,115,|,D1800,逃,107,|,D1800,先,101,|,D1800,逃,117,|,D1800,逃,109,+,D1800,逃,109,|,D1800,逃,104,|,D1800,逃,104,+,T1800,先, 82,|,T1800,中, 77,+,T1800,中, 75,|,T1800,先, 76,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,15,,,,,イッシンドウタイ,,牡,6,*,田辺裕信,56,  ,9.9,5,520,- 2, ,106,,D1800,中,109,|,D2100,中,５着,|,D1800,先,116,|,D2000,後,105,|,D1800,後,113,|,D2100,先,102,|,D2000,中, 92,+,D1700,先,101,|,D1700,先,107,|,D2100,中, 81,|,D2000,中,108,|,D1800,中,111,|,D1800,先,103,|,D1800,中, 96,|,D2100,先, 99,|,D1800,先,100,|,D1800,中, 96,|,D1700,後, 67,+,D2100,中, 79,|,D2100,先,107,|,D1800,先,110,|,D1800,中, 90,|,D2100,逃,107,|,D1800,先,106,|,D1800,中,104,|,D2100,中,102,|,D1600,後, 92,|,D1700,中, 97,|,D1700,先, 92,|,D1700,先, 92,+,D1600,後, 90,|,D1600,後, 93,|,D1800,中, 84,|,D1800,中, 86,|,D1800,中, 90,|,D1800,中, 86,|,D1800,後, 81,|,D1800,中,５着,|,D1700,中,１着,|,D1700,先,１着,|,D1700,マ,３着,|,D1200,中,１着,|,D1200,後,６着,|,D1200,先,１着,|,D1000,逃,１着,|,D1200,中,５着,|,,,,,,,,,,,,,,
8,,16,,,,,マイネルクロップ,,牡,5,,丹内祐次,56,  ,15.3,7,500,- 9, ,115,,D2000,先,１着,|,D1800,中,107,|,D1800,中,112,|,D1800,先, 96,|,D1900,中,110,|,D1800,先,108,|,D1800,中,102,|,D1800,後,106,|,D1700,後, 91,+,D1800,先,110,|,D1800,先,104,|,D1800,先,101,|,D1800,先,100,|,D1800,先,100,|,D1800,先, 95,+,T2200,先, 96,|,D1800,中, 98,|,D1800,中, 98,|,T2000,先, 98,|,D1800,先, 95,|,T2000,先, 95,|,D1800,中, 90,|,D1800,中, 92,+,D1700,先, 81,|,T1800,先, 76,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
